GAcX= 1.40 | GAcY= 0.14 | GAcZ= 0.20
GAcX= 0.80 | GAcY= 0.25 | GAcZ= -0.20
GAcX= 0.80 | GAcY= -0.09 | GAcZ= -0.08
GAcX= 0.09 | GAcY= -0.11 | GAcZ= 0.37
GAcX= -0.25 | GAcY= 0.04 | GAcZ= 0.29
GAcX= -0.12 | GAcY= 0.04 | GAcZ= 0.08
GAcX= -0.05 | GAcY= -0.00 | GAcZ= -0.83
GAcX= -0.15 | GAcY= 0.02 | GAcZ= -0.25
GAcX= -0.08 | GAcY= -0.04 | GAcZ= -0.46
GAcX= -0.01 | GAcY= 0.02 | GAcZ= 0.02
GAcX= -0.28 | GAcY= 0.02 | GAcZ= 0.40
GAcX= 0.03 | GAcY= -0.01 | GAcZ= 0.10
GAcX= 0.05 | GAcY= -0.01 | GAcZ= 0.35
GAcX= 0.35 | GAcY= -0.04 | GAcZ= -0.27
GAcX= 0.16 | GAcY= -0.03 | GAcZ= 0.12
GAcX= 0.26 | GAcY= 0.03 | GAcZ= -0.11
GAcX= 0.07 | GAcY= 0.01 | GAcZ= 0.16
GAcX= -0.08 | GAcY= 0.00 | GAcZ= 0.06
GAcX= -0.07 | GAcY= 0.01 | GAcZ= -0.18
GAcX= -0.15 | GAcY= 0.04 | GAcZ= -0.20
GAcX= -0.12 | GAcY= 0.04 | GAcZ= -0.28
GAcX= -0.23 | GAcY= 0.00 | GAcZ= -0.17
GAcX= -0.30 | GAcY= -0.01 | GAcZ= -0.02
GAcX= -0.26 | GAcY= -0.03 | GAcZ= 0.04
GAcX= -0.08 | GAcY= 0.01 | GAcZ= 0.05
GAcX= 0.02 | GAcY= -0.02 | GAcZ= 0.10
GAcX= 0.09 | GAcY= -0.03 | GAcZ= 0.05
GAcX= 0.17 | GAcY= 0.00 | GAcZ= 0.07
GAcX= 0.21 | GAcY= 0.02 | GAcZ= -0.02
GAcX= 0.17 | GAcY= 0.00 | GAcZ= -0.03
GAcX= 0.12 | GAcY= -0.02 | GAcZ= -0.08
GAcX= 0.05 | GAcY= -0.01 | GAcZ= -0.14
GAcX= -0.02 | GAcY= 0.01 | GAcZ= -0.12
GAcX= -0.09 | GAcY= 0.02 | GAcZ= -0.03
GAcX= -0.12 | GAcY= 0.03 | GAcZ= -0.00
GAcX= -0.15 | GAcY= 0.03 | GAcZ= -0.00
GAcX= -0.11 | GAcY= 0.03 | GAcZ= 0.04
GAcX= -0.07 | GAcY= 0.01 | GAcZ= 0.05
GAcX= -0.03 | GAcY= 0.01 | GAcZ= 0.07
GAcX= 0.08 | GAcY= 0.00 | GAcZ= 0.03
GAcX= 0.14 | GAcY= 0.01 | GAcZ= 0.01
GAcX= 0.15 | GAcY= 0.00 | GAcZ= 0.01
GAcX= 0.15 | GAcY= -0.01 | GAcZ= -0.02
GAcX= 0.12 | GAcY= -0.01 | GAcZ= -0.04
GAcX= 0.08 | GAcY= -0.01 | GAcZ= -0.08
GAcX= -0.01 | GAcY= -0.00 | GAcZ= -0.06
GAcX= -0.08 | GAcY= -0.00 | GAcZ= -0.05
GAcX= -0.14 | GAcY= 0.00 | GAcZ= -0.02
GAcX= -0.16 | GAcY= 0.00 | GAcZ= -0.03
GAcX= -0.15 | GAcY= 0.01 | GAcZ= -0.05
GAcX= -0.12 | GAcY= 0.01 | GAcZ= -0.06
